Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,806.9000244140625,806.9000244140625,754.0,761.3499755859375,757.8345336914062,102141
2021-04-06,757.5499877929688,774.9500122070312,734.0,741.3499755859375,737.9268798828125,111847
2021-04-07,741.3499755859375,754.0,734.5999755859375,743.9000244140625,740.4651489257812,62985
2021-04-08,750.0,759.0999755859375,733.0999755859375,736.0499877929688,732.6513671875,65928
2021-04-09,739.9000244140625,741.7999877929688,730.0,730.9000244140625,727.525146484375,43342
2021-04-12,723.0,723.0,680.0499877929688,697.3499755859375,694.1300659179688,95559
2021-04-13,699.0,719.7999877929688,694.4500122070312,709.6500244140625,706.373291015625,128059
2021-04-15,700.0,715.0,692.8499755859375,701.5999755859375,698.3604125976562,42576
2021-04-16,701.5999755859375,715.0,700.0999755859375,708.4000244140625,705.1290893554688,35551
2021-04-19,700.0,700.0,666.0,672.5499877929688,669.444580078125,68023
2021-04-20,689.0,689.0,667.5,675.6500244140625,672.5302734375,69980
2021-04-22,670.0499877929688,684.8499755859375,670.0499877929688,679.7000122070312,676.5615844726562,25228
2021-04-23,681.0,698.9500122070312,676.8499755859375,683.1500244140625,679.9956665039062,38116
2021-04-26,681.0,694.25,677.0,685.0,681.8370971679688,40687
2021-04-27,688.0,697.0,659.0,681.9500122070312,678.8012084960938,67988
2021-04-28,683.0999755859375,703.8499755859375,683.0999755859375,695.7999877929688,692.5872192382812,57657
2021-04-29,696.5499877929688,710.75,687.0499877929688,694.6500244140625,691.4425659179688,106946
2021-04-30,692.0,711.0,672.25,698.5999755859375,695.374267578125,83773
2021-05-03,705.0,709.75,698.0,702.4500122070312,699.20654296875,51195
2021-05-04,710.0,742.9000244140625,704.4500122070312,729.3499755859375,725.9822998046875,314695
2021-05-05,736.0,755.0,727.0,731.5499877929688,728.172119140625,146066
2021-05-06,732.2999877929688,767.4000244140625,722.7999877929688,725.5499877929688,722.1998291015625,530212
2021-05-07,739.9000244140625,751.75,720.1500244140625,724.0499877929688,720.706787109375,150497
2021-05-10,729.0,736.0,707.4500122070312,715.0999755859375,711.798095703125,103470
2021-05-11,719.25,721.9500122070312,701.9000244140625,704.5499877929688,701.2968139648438,83763
2021-05-12,706.0,711.8499755859375,695.0,698.4000244140625,695.1752319335938,48740
2021-05-14,700.25,710.0,676.0,680.6500244140625,677.5072021484375,95661
2021-05-17,682.0999755859375,744.0,680.0499877929688,736.3499755859375,732.949951171875,482147
2021-05-18,751.0,775.7000122070312,742.4000244140625,753.5,753.5,328766
2021-05-19,751.0,772.0,745.0,748.75,748.75,75095
2021-05-20,756.5999755859375,757.0,735.4000244140625,739.4000244140625,739.4000244140625,46224
2021-05-21,743.0999755859375,743.0999755859375,724.5999755859375,727.25,727.25,51187
2021-05-24,730.5999755859375,794.6500244140625,730.4000244140625,782.7999877929688,782.7999877929688,741713
2021-05-25,789.7999877929688,798.0,766.5499877929688,785.7999877929688,785.7999877929688,219057
2021-05-26,787.0,791.4000244140625,770.0999755859375,775.4000244140625,775.4000244140625,68524
2021-05-27,779.5,810.0,773.5,802.9000244140625,802.9000244140625,223640
2021-05-28,806.9500122070312,812.7000122070312,783.0999755859375,791.8499755859375,791.8499755859375,126620
2021-05-31,794.9500122070312,807.7000122070312,783.2999877929688,790.5999755859375,790.5999755859375,90395
2021-06-01,794.5999755859375,801.6500244140625,772.3499755859375,785.7999877929688,785.7999877929688,99775
2021-06-02,782.0,793.4000244140625,775.25,784.6500244140625,784.6500244140625,66144
2021-06-03,786.7000122070312,792.0,780.0,787.75,787.75,51318
2021-06-04,790.0,844.7000122070312,787.75,810.5,810.5,451660
2021-06-07,811.7000122070312,823.9000244140625,811.0,816.75,816.75,83210
2021-06-08,815.7999877929688,838.9000244140625,814.75,831.4500122070312,831.4500122070312,147429
2021-06-09,838.4500122070312,867.7000122070312,825.4500122070312,837.5,837.5,278267
2021-06-10,849.0,865.0,841.0,844.9000244140625,844.9000244140625,111123
2021-06-11,854.7000122070312,854.7000122070312,823.9000244140625,829.7000122070312,829.7000122070312,85162
2021-06-14,836.5,839.0,815.0,833.4500122070312,833.4500122070312,72950
2021-06-15,834.0,857.0,828.7000122070312,847.6500244140625,847.6500244140625,103055
2021-06-16,845.0,845.0,826.0,830.2999877929688,830.2999877929688,74381
2021-06-17,828.5999755859375,842.75,816.0,822.2999877929688,822.2999877929688,76694
2021-06-18,822.2999877929688,827.5499877929688,777.25,807.4000244140625,807.4000244140625,316683
2021-06-21,790.0499877929688,804.0999755859375,781.1500244140625,798.1500244140625,798.1500244140625,66534
2021-06-22,798.1500244140625,807.5999755859375,785.0999755859375,789.5,789.5,58728
2021-06-23,786.0,803.9500122070312,771.4500122070312,787.2999877929688,787.2999877929688,108520
2021-06-24,798.0,798.7999877929688,773.0,795.5999755859375,795.5999755859375,70103
2021-06-25,795.5999755859375,800.5999755859375,783.2000122070312,790.3499755859375,790.3499755859375,33951
2021-06-28,799.0,849.0,792.0499877929688,808.5,808.5,205376
2021-06-29,803.0,812.2999877929688,792.0,795.0,795.0,44662
2021-06-30,798.9500122070312,811.8499755859375,795.0,808.6500244140625,808.6500244140625,94228
2021-07-01,804.5999755859375,814.3499755859375,790.0,804.2000122070312,804.2000122070312,83889
2021-07-02,800.2000122070312,828.8499755859375,799.0999755859375,824.2999877929688,824.2999877929688,201134
2021-07-05,831.5,839.0,810.0,817.5999755859375,817.5999755859375,57542
2021-07-06,818.7999877929688,827.7999877929688,795.0499877929688,804.1500244140625,804.1500244140625,50461
2021-07-07,803.0,808.3499755859375,790.2000122070312,794.25,794.25,50471
2021-07-08,799.0999755859375,802.25,786.4000244140625,795.2000122070312,795.2000122070312,23723
2021-07-09,791.5999755859375,798.5999755859375,778.7000122070312,784.7000122070312,784.7000122070312,45805
2021-07-12,793.9000244140625,798.5,786.25,789.5,789.5,31858
2021-07-13,797.9000244140625,799.6500244140625,783.0,798.25,798.25,33557
2021-07-14,799.9500122070312,815.0,791.0999755859375,800.7000122070312,800.7000122070312,66819
