Affle India,AFFLE.NS
Alkem Laboratories,ALKEM.NS
Ashok Leyland,ASHOKLEY.NS
Avanti Feeds,AVANTIFEED.NS
Bharti Airtel,BHARTIARTL.NS
Dabur India,DABUR.NS
DLF Ltd,DLF.NS
HCL Technologies,HCLTECH.NS
HDFC Asset,HDFCAMC.NS
HDFC Bank,HDFCBANK.NS
HDFC Life,HDFCLIFE.NS
Hindalco Industries,HINDALCO.NS
Hindustan Unilever,HINDUNILVR.NS
Hindustan Zinc,HINDZINC.NS
ICICI Bank,ICICIBANK.NS
Infosys,INFY.NS
Mahindra & Mahindra Ltd,M&M.NS
Motherson Sumi,MOTHERSUMI.NS
Radico Khaitan,RADICO.NS
RBL Bank,RBLBANK.NS
Reliance Industries,RELIANCE.NS
SBI Cards,SBICARD.NS
SBI Life,SBILIFE.NS
Sonata Software,SONATSOFTW.NS
Sun Pharmaceutical,SUNPHARMA.NS
Suzlon Energy,SUZLON.NS
Tata Chemicals,TATACHEM.NS
Tata Communications,TATACOMM.NS
Tata Consultancy,TCS.NS
Tata Consumer,TATACONSUM.NS
Tata Elxsi,TATAELXSI.NS
Tata Investment,TATAINVEST.NS
Tata Motors Ltd,TATAMOTORS.NS
Tata Motors Ltd DVR,TATAMTRDVR.NS
Tata Power,TATAPOWER.NS
Tata Steel BSL Ltd,TATASTLBSL.NS
Tata Steel Ltd,TATASTEEL.NS
United Breweries,UBL.NS
United Spirits,MCDOWELL-N.NS
Vedanta,VEDL.NS
Wipro Ltd,WIPRO.NS
